Mã khách hàng,Tài khoản,Trạng thái xác minh,Pause date,Mã đơn vị tiền tệ,Spend (last 7 days),Spend(last 7 days) (Converted currency),Hồ sơ thanh toán,Người quản lý trực tiếp,Mã khách hàng của người quản lý trực tiếp,Ad disclosure name,Ad disclosure country,Verification type
496-436-2168,Account_94_13:30,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,03","US$0,03", --,OK,169-880-2531, --, --, --
708-466-2419,XCK-13,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"4,38","US$4,38", --,BLUM 2,601-828-1074, --, --, --
929-755-8096,Account_30_17:28,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,I LOVE GOOGLE 1,345-512-8193, --, --, --
664-267-6047,Account_94_16:03,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,53","US$0,53", --,OK 9,588-173-4213, --, --, --
369-185-4052,Account_4_22:11,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,Tôi Yêu GG 4 Phúc 60% XTĐ,407-989-0100, --, --, --
677-962-5776,Account_1_14:19,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 4,573-212-4458, --, --, --
322-658-5478,Account_52_14:38,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,OK 9,588-173-4213, --, --, --
224-855-8094,us28_xuan55%_da32_2$,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,73","US$0,73", --,MCC_US_USD XTD 55% T11 03,392-194-2982, --, --, --
708-083-8007,Account_18_14:13 K,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,20","US$0,20", --,LI 3,468-916-0549, --, --, --
478-290-3992,1104-22,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,08","US$0,08", --,CAFE 2,912-637-8737, --, --, --
977-403-8893,Ducanh01,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"60,44","US$60,44", --,MEME,977-828-5088, --, --, --
958-972-2811,Trường LIE_003,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 32,560-644-8427, --, --, --
462-283-4727,Account_1_11:47,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,82","US$0,82", --,LYLY 1,606-596-8084, --, --, --
381-889-4727,Account_86_16:25,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM,337-604-4931, --, --, --
504-795-1690,X_213,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,71","US$1,71", --,HAM 4,872-539-0376, --, --, --
373-222-8841,Account_62_15:48,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,TOM 1,703-402-8666, --, --, --
242-839-0613,Account_42_08:56,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 8 LUCKY,357-713-6860, --, --, --
273-807-6319,XCK-45,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,25","US$0,25", --,BLUM 2,601-828-1074, --, --, --
515-327-2464,T11 Russia 11,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,MCC_US_USD XTD 55% T11 02,636-579-6691, --, --, --
651-610-3492,Account_71_14:54,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,PHUC XDT 60%,489-739-6170, --, --, --
577-699-9774,Account_41_13:01,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,04","US$0,04", --,OK,169-880-2531, --, --, --
596-724-2562,p3,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS,238-859-3642, --, --, --
175-750-8782,14/11 Uyên 46z,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,21","US$0,21", --,CATS 4,697-575-0819, --, --, --
370-069-6352,Account_3_09:50,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LIE 9 A.Tùng Mừng Em Chở Về,727-844-1244, --, --, --
737-472-2949,Account_25_15:02,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,LYLY 5,910-455-2980, --, --, --
643-040-2221,sao - 15,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"0,00","US$0,00", --,DOGS 1,952-559-9586, --, --, --
820-844-2111,xtd-41,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"33,14","US$33,14", --,BLUM 1,665-398-6627, --, --, --
878-010-9554,Account_13/11 DA11,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"1,10","US$1,10", --,CATS,980-219-3341, --, --, --
238-830-2368,Account_2_12:39,Chưa bắt đầu – việc cần làm,"15 thg 12, 2024",USD,"242,24","US$242,24", --,LYLY 5,910-455-2980, --, --, --
